iter	MultiClass
0	1.087370822
1	1.072503101
2	1.05685344
3	1.044748734
4	1.035039549
5	1.026270031
6	1.020338787
7	1.005662229
8	0.9977765685
9	0.9889083973
10	0.9873005433
11	0.9833431246
12	0.9747905381
13	0.9691169858
14	0.9597924829115	0.9486241481616	0.93674017	017	0.922636718	018	0.913758919	019	0.901272020	20	0.8981929121	21	0.8878384222	22	0.884213562323	0.8716730532424	0.8668266062525	0.8630257062626	0.852713827	027	0.839689028	028	0.834788829	029	0.82385930	0.30	0.81496231	0.31	0.80722832	0.32	0.79820433	033	0.79013834	0.34	0.78528035	035	0.779029436	036	0.770003437	037	0.755310338	038	0.752482139	039	0.744089340	040	0.737814741	041	0.727097142	042	0.717095643	043	0.709535644	044	0.702669945	045	0.697013146	046	0.689235347	047	0.683671348	048	0.675592649	049	0.668315850	050	0.663182151	051	0.655549552	052	0.651164353	053	0.644965554	054	0.637267455	055	0.630607956	056	0.624378057	057	0.621557958	058	0.615084759	59	0.6102047260	60	0.6045151961	61	0.5978224562	62	0.5924759663	63	0.5878528964	64	0.5829158465	65	0.5812396466	66	0.5779455867	67	0.574275668	068	0.571614769	69	0.5687790170	70	0.5640883171	71	0.5590014172	72	0.5523612873	73	0.5485330074	74	0.5430475275	75	0.5394671876	76	0.5371976377	77	0.5328277378	78	0.5285634879	79	0.5227031280	80	0.5167833181	81	0.513515858282	0.5092297278383	0.5059948668484	0.5033324098585	0.5010802688686	0.4963337198787	0.4891608678888	0.48610484
89	0.4820156214
90	0.4786394804
91	0.4769494082992	0.4702850662993	0.4649337922994	0.4620091167995	0.458687293
96	0.4551127903
97	0.4520297646
98	0.4486076698
99	0.4440810485
25
