iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	0.8571428571	1.045938954	0.8235294118	0.9152542373	0.8275862069
1	0.8928571429	1.020479283	0.8461538462	0.9454545455	0.8852459016
2	0.9642857143	0.9786898407	0.9491525424	1	0.9433962264
3	0.9880952381	0.9495023845	0.9824561404	1	0.9818181818
4	0.9880952381	0.9230314773	0.9824561404	1	0.9818181818
5	0.9880952381	0.8952490032	0.9824561404	1	0.9818181818
6	0.9880952381	0.87146925	0.9824561404	1	0.9818181818
7	0.9880952381	0.8401190353	0.9824561404	1	0.9818181818
8	1	0.8150699679	1	1	1
9	1	0.7960132119	1	1	1
10	1	0.7741079816	1	1	1
11	1	0.7529276133	1	1	1
12	1	0.7366751005	1	1	1
13	1	0.7181164562	1	1	1
14	1	0.6947850044	1	1	1
15	1	0.6728674538	1	1	1
16	1	0.6563108514	1	1	1
17	1	0.6373277032	1	1	1
18	1	0.6249448006	1	1	1
19	1	0.6099465084	1	1	1
20	1	0.5920192737	1	1	1
21	1	0.5775273935	1	1	1
22	1	0.5650666865	1	1	1
23	1	0.5488575981	1	1	1
24	1	0.5295274968	1	1	1
25	1	0.5133587346	1	1	1
26	1	0.5019187917	1	1	1
27	1	0.4898231225	1	1	1
28	1	0.4777253852	1	1	1
29	1	0.46555806	1	1	1
30	1	0.4542389167	1	1	1
31	1	0.4411313002	1	1	1
32	1	0.4279998962	1	1	1
33	1	0.4179558498	1	1	1
34	1	0.4073921717	1	1	1
35	1	0.3964997006	1	1	1
36	1	0.3842460906	1	1	1
37	1	0.3743739294	1	1	1
38	1	0.365771278	1	1	1
39	1	0.3587657462	1	1	1
40	1	0.3520779602	1	1	1
41	1	0.3411746865	1	1	1
42	1	0.3328207261	1	1	1
43	1	0.3248480974	1	1	1
44	1	0.3165162134	1	1	1
45	1	0.3097222799	1	1	1
46	1	0.303765176	1	1	1
47	1	0.2963423403	1	1	1
48	1	0.2895458394	1	1	1
49	1	0.2855866398	1	1	1
50	1	0.2789440887	1	1	1
51	1	0.2709029347	1	1	1
52	1	0.2647524622	1	1	1
53	1	0.2580322689	1	1	1
54	1	0.2525084589	1	1	1
55	1	0.2475834803	1	1	1
56	1	0.2432716688	1	1	1
57	1	0.2380295098	1	1	1
58	1	0.2331519027	1	1	1
59	1	0.2274243792	1	1	1
60	1	0.2215522958	1	1	1
61	1	0.2160425851	1	1	1
62	1	0.2103177952	1	1	1
63	1	0.2068137667	1	1	1
64	1	0.2024089601	1	1	1
65	1	0.1981129395	1	1	1
66	1	0.1938027799	1	1	1
67	1	0.189484276	1	1	1
68	1	0.1852455995	1	1	1
69	1	0.1821463862	1	1	1
70	1	0.1783074567	1	1	1
71	1	0.1738459442	1	1	1
72	1	0.1713464077	1	1	1
73	1	0.1677296428	1	1	1
74	1	0.1637028797	1	1	1
75	1	0.1609055735	1	1	1
76	1	0.1579015184	1	1	1
77	1	0.1549888395	1	1	1
78	1	0.15039009	1	1	1
79	1	0.1482126134	1	1	1
80	1	0.145010645	1	1	1
81	1	0.142665927	1	1	1
82	1	0.1393756524	1	1	1
83	1	0.1372241296	1	1	1
84	1	0.1349207106	1	1	1
85	1	0.1325934893	1	1	1
86	1	0.1300289427	1	1	1
87	1	0.1280322426	1	1	1
88	1	0.1254125628	1	1	1
89	1	0.1229943825	1	1	1
90	1	0.1210077675	1	1	1
91	1	0.1187592107	1	1	1
92	1	0.116720118	1	1	1
93	1	0.1146602217	1	1	1
94	1	0.1126383944	1	1	1
95	1	0.1106176757	1	1	1
96	1	0.1092412352	1	1	1
97	1	0.1077292856	1	1	1
98	1	0.1060106302	1	1	1
99	1	0.1043310932	1	1	1
100	1	0.1029572333	1	1	1
101	1	0.1017261925	1	1	1
102	1	0.1004520084	1	1	1
103	1	0.09917479583	1	1	1
104	1	0.0977133051	1	1	1
105	1	0.09671843557	1	1	1
106	1	0.09554506249	1	1	1
107	1	0.09454718295	1	1	1
108	1	0.09324697988	1	1	1
109	1	0.09220741388	1	1	1
110	1	0.0910105399	1	1	1
111	1	0.08936305804	1	1	1
112	1	0.0882521631	1	1	1
113	1	0.08645505116	1	1	1
114	1	0.08538519066	1	1	1
115	1	0.08444006688	1	1	1
116	1	0.08364448987	1	1	1
117	1	0.08267542382	1	1	1
118	1	0.08179804116	1	1	1
119	1	0.08059298345	1	1	1
120	1	0.07986949083	1	1	1
121	1	0.07904623424	1	1	1
122	1	0.07825271789	1	1	1
123	1	0.07748188911	1	1	1
124	1	0.07639611472	1	1	1
125	1	0.07552499053	1	1	1
126	1	0.07402633431	1	1	1
127	1	0.07335037479	1	1	1
128	1	0.07245918218	1	1	1
129	1	0.07166130633	1	1	1
130	1	0.07068717945	1	1	1
131	1	0.07005055334	1	1	1
132	1	0.06943017623	1	1	1
133	1	0.06864213353	1	1	1
134	1	0.06722297089	1	1	1
135	1	0.06647408628	1	1	1
136	1	0.06588459429	1	1	1
137	1	0.06509177978	1	1	1
138	1	0.06449725115	1	1	1
139	1	0.06382340709	1	1	1
140	1	0.06313126309	1	1	1
141	1	0.06247191445	1	1	1
142	1	0.06193691618	1	1	1
143	1	0.06110525897	1	1	1
144	1	0.06062951057	1	1	1
145	1	0.0597715483	1	1	1
146	1	0.05879777994	1	1	1
147	1	0.05828142178	1	1	1
148	1	0.05778957361	1	1	1
149	1	0.05726829433	1	1	1
150	1	0.0568089487	1	1	1
151	1	0.05641603751	1	1	1
152	1	0.05575503409	1	1	1
153	1	0.05525861454	1	1	1
154	1	0.05481754297	1	1	1
155	1	0.05442024515	1	1	1
156	1	0.05401434266	1	1	1
157	1	0.05355896506	1	1	1
158	1	0.05314212726	1	1	1
159	1	0.05255287927	1	1	1
160	1	0.0521221248	1	1	1
161	1	0.05149720898	1	1	1
162	1	0.05102292262	1	1	1
163	1	0.05054600016	1	1	1
164	1	0.05010079239	1	1	1
165	1	0.04956306414	1	1	1
166	1	0.04923443893	1	1	1
167	1	0.04883343009	1	1	1
168	1	0.04828230532	1	1	1
169	1	0.04782710582	1	1	1
170	1	0.04746345087	1	1	1
171	1	0.04714952738	1	1	1
172	1	0.04664400801	1	1	1
173	1	0.04623538253	1	1	1
174	1	0.04595522474	1	1	1
175	1	0.04564235188	1	1	1
176	1	0.04528761258	1	1	1
177	1	0.04500450875	1	1	1
178	1	0.04470797229	1	1	1
179	1	0.04444111319	1	1	1
180	1	0.04407109854	1	1	1
181	1	0.04378680717	1	1	1
182	1	0.04347556672	1	1	1
183	1	0.04314520022	1	1	1
184	1	0.04289891115	1	1	1
185	1	0.04270167258	1	1	1
186	1	0.04242889144	1	1	1
187	1	0.04218451422	1	1	1
188	1	0.0418758168	1	1	1
189	1	0.0416619419	1	1	1
190	1	0.04142104974	1	1	1
191	1	0.04095768502	1	1	1
192	1	0.0407425829	1	1	1
193	1	0.04031365078	1	1	1
194	1	0.03999020722	1	1	1
195	1	0.03976974802	1	1	1
196	1	0.03945401434	1	1	1
197	1	0.0391493269	1	1	1
198	1	0.03882537844	1	1	1
199	1	0.03857879115	1	1	1
